date Germany India Singapore Norway Netherlands
2020-01-22 0 0 0 0 0
2020-01-23 0 0 1 0 0
2020-01-24 0 0 3 0 0
2020-01-25 0 0 3 0 0
2020-01-26 0 0 4 0 0
2020-01-27 1 0 5 0 0
2020-01-28 4 0 7 0 0
2020-01-29 4 0 7 0 0
2020-01-30 4 1 10 0 0
2020-01-31 5 1 13 0 0
2020-02-01 8 1 16 0 0
2020-02-02 10 2 18 0 0
2020-02-03 12 3 18 0 0
2020-02-04 12 3 24 0 0
2020-02-05 12 3 28 0 0
2020-02-06 12 3 28 0 0
2020-02-07 13 3 30 0 0
2020-02-08 13 3 33 0 0
2020-02-09 14 3 40 0 0
2020-02-10 14 3 45 0 0
2020-02-11 16 3 47 0 0
2020-02-12 16 3 50 0 0
2020-02-13 16 3 58 0 0
2020-02-14 16 3 67 0 0
2020-02-15 16 3 72 0 0
2020-02-16 16 3 75 0 0
2020-02-17 16 3 77 0 0
2020-02-18 16 3 81 0 0
2020-02-19 16 3 84 0 0
2020-02-20 16 3 84 0 0
2020-02-21 16 3 85 0 0
2020-02-22 16 3 85 0 0
2020-02-23 16 3 89 0 0
2020-02-24 16 3 89 0 0
2020-02-25 16 3 91 0 0
2020-02-26 21 3 93 1 0
2020-02-27 26 3 93 1 1
2020-02-28 53 3 93 6 6
2020-02-29 66 3 102 15 10
2020-03-01 117 3 106 19 18
2020-03-02 150 5 108 25 24
2020-03-03 188 5 110 32 38
2020-03-04 240 28 110 56 82
2020-03-05 349 30 117 87 128
2020-03-06 534 31 130 108 188
2020-03-07 684 34 138 147 265
2020-03-08 847 39 150 176 321
2020-03-09 1112 43 150 205 382
2020-03-10 1296 56 160 400 503
2020-03-11 1567 62 178 598 603
2020-03-12 2369 73 178 702 804
2020-03-13 3062 82 200 996 961
2020-03-14 3795 102 212 1090 1138
2020-03-15 4838 113 226 1221 1416
2020-03-16 6012 119 243 1333 1708
2020-03-17 7156 142 266 1463 2057
2020-03-18 8198 156 313 1550 2467
2020-03-19 10999 194 345 1746 3001
2020-03-20 13957 244 385 1914 3640
2020-03-21 16662 330 432 2118 4213
2020-03-22 18610 396 455 2385 4762
2020-03-23 22672 499 509 2621 5575
2020-03-24 27436 536 558 2863 6432
2020-03-25 31554 657 631 3084 7457
2020-03-26 36508 727 683 3369 8640
2020-03-27 42288 887 732 3755 9806
2020-03-28 48582 987 802 4015 10923
2020-03-29 52547 1024 844 4284 11814
2020-03-30 57298 1251 879 4445 12662
2020-03-31 61913 1397 926 4641 13686
2020-04-01 67366 1998 1000 4863 14779
2020-04-02 73522 2543 1049 5147 15814
2020-04-03 79696 2567 1114 5370 16725
2020-04-04 85778 3082 1189 5550 17951
2020-04-05 91714 3588 1309 5687 18905
2020-04-06 95391 4778 1375 5865 19703
2020-04-07 99225 5311 1481 6086 20678
2020-04-08 103228 5916 1623 6086 21895
2020-04-09 108202 6725 1910 6211 23238
2020-04-10 113525 7598 2108 6314 24565
2020-04-11 117658 8446 2299 6409 25745
2020-04-12 120479 9205 2532 6525 26710
2020-04-13 123016 10453 2918 6603 27578
2020-04-14 125098 11487 3252 6623 28314
2020-04-15 127584 12322 3699 6740 29377
2020-04-16 130450 13430 4427 6896 30618
2020-04-17 133830 14352 5050 6937 31759
2020-04-18 137439 15722 5992 7036 32832
2020-04-19 139897 17615 6588 7078 33588
2020-04-20 141672 18539 8014 7156 34317
2020-04-21 143457 20080 9125 7191 35025
2020-04-22 145694 21370 10141 7338 35919
2020-04-23 148046 23077 11178 7401 36727
2020-04-24 150383 24530 12075 7463 37384
2020-04-25 152438 26283 12693 7499 38039
2020-04-26 154175 27890 13624 7527 38440
2020-04-27 155193 29451 14423 7599 38611
2020-04-28 156337 31324 14951 7660 38998
2020-04-29 157641 33062 15641 7710 39512
2020-04-30 159119 34863 16169 7738 39987
2020-05-01 160758 37257 17101 7783 40434
2020-05-02 161703 39699 17548 7809 40769
2020-05-03 162496 42505 18205 7847 40968
2020-05-04 163175 46437 18778 7904 41285
2020-05-05 163860 49400 19410 7955 41518
2020-05-06 164807 52987 20198 7996 41973
2020-05-07 166091 56351 20939 8034 42292
2020-05-08 167300 59695 21707 8070 42581
2020-05-09 168551 62808 22460 8099 42826
2020-05-10 169218 67161 23336 8105 42987
2020-05-11 169575 70768 23822 8132 43183
2020-05-12 170508 74292 24671 8157 43410
2020-05-13 171306 78055 25346 8175 43680
2020-05-14 172239 81997 26098 8196 43880
2020-05-15 173152 85784 26891 8219 44069
2020-05-16 173772 90648 27356 8237 44195
2020-05-17 174355 95698 28038 8249 44341
2020-05-18 174697 100328 28343 8257 44449
2020-05-19 175210 106475 28794 8267 44647
2020-05-20 176007 112028 29364 8281 44900
2020-05-21 176752 118226 29812 8309 45088
2020-05-22 177212 124794 30426 8332 45264
2020-05-23 177850 131423 31068 8346 45437
2020-05-24 178281 138536 31616 8352 45646
2020-05-25 178570 144950 31960 8364 45780
2020-05-26 179002 150793 32343 8383 45970
2020-05-27 179364 158086 32876 8401 46152
2020-05-28 179717 165386 33249 8411 46328
2020-05-29 180458 173491 33860 8422 46459
2020-05-30 181196 181827 34366 8437 46645
2020-05-31 181482 190609 34884 8440 46748
2020-06-01 181815 198370 35292 8446 46851
2020-06-02 182028 207191 35836 8455 46938
2020-06-03 182370 216824 36405 8477 47148
2020-06-04 182764 226713 36922 8504 47358
2020-06-05 183271 236184 37183 8522 47541
2020-06-06 183678 246622 37527 8531 47780
2020-06-07 183979 257486 37910 8547 47945
2020-06-08 184193 265928 38296 8561 48109
2020-06-09 184543 276146 38514 8576 48293
2020-06-10 184861 286605 38965 8594 48458
2020-06-11 185416 297535 39387 8608 48668
2020-06-12 185674 308993 39850 8620 48847
2020-06-13 186022 320922 40197 8628 48990
2020-06-14 186269 332424 40604 8631 49155
2020-06-15 186461 343091 40818 8647 49294
2020-06-16 186839 354065 40969 8660 49412
2020-06-17 187184 366946 41216 8692 49527
2020-06-18 187764 380532 41473 8708 49634
2020-06-19 188534 395048 41615 8726 49710
2020-06-20 189135 410451 41833 8742 49801
2020-06-21 189822 425282 42095 8745 49866
2020-06-22 190359 440215 42313 8751 49930
2020-06-23 190862 456183 42432 8772 50012
2020-06-24 191449 473105 42623 8788 50122
2020-06-25 192079 490401 42736 8788 50213
2020-06-26 192556 508953 42955 8832 50282
2020-06-27 193243 528859 43246 8846 50355
2020-06-28 193499 548318 43459 8855 50431
2020-06-29 193761 566840 43661 8862 50483
2020-06-30 194259 585481 43907 8879 50545
2020-07-01 194725 604641 44122 8896 50622
2020-07-02 195228 625544 44310 8902 50698
2020-07-03 195674 648315 44479 8921 50759
2020-07-04 196096 673165 44664 8926 50834
2020-07-05 196335 697413 44800 8930 50870
2020-07-06 196554 719664 44983 8936 50907
2020-07-07 196944 742417 45140 8947 50959
2020-07-08 197341 767296 45298 8950 51011
2020-07-09 197783 793802 45423 8965 51055
2020-07-10 198178 820916 45614 8974 51136
2020-07-11 198556 849522 45783 8977 51237
2020-07-12 198804 878254 45961 8981 51308
2020-07-13 198963 906752 46283 8984 51361
2020-07-14 199375 936181 46630 9001 51468
2020-07-15 199726 968857 46878 9011 51570
2020-07-16 200260 1003832 47126 9015 51675
2020-07-17 200843 1039084 47453 9025 51809
2020-07-18 201372 1077781 47655 9028 51953
2020-07-19 201574 1118206 47912 9028 52140
2020-07-20 201823 1155338 48035 9034 52305
2020-07-21 202345 1193078 48434 9053 52475
2020-07-22 202799 1238798 48744 9059 52638
2020-07-23 203368 1288108 49098 9085 52831
2020-07-24 204183 1337024 49375 9092 52974
2020-07-25 204964 1385635 49888 9111 53257
2020-07-26 205269 1435616 50369 9117 53424
2020-07-27 205609 1480073 50838 9132 53647
2020-07-28 206242 1531669 51197 9150 53894
2020-07-29 206926 1581963 51531 9172 54237
2020-07-30 207828 1634746 51809 9208 54587
2020-07-31 208698 1695988 52205 9240 55021
2020-08-01 209653 1750723 52512 9253 55387
2020-08-02 209893 1803695 52825 9268 55780
2020-08-03 210402 1855745 53051 9334 56271
2020-08-04 211281 1908254 53346 9362 56705
2020-08-05 212022 1964536 54254 9409 57351
2020-08-06 213067 2027074 54555 9468 57984
2020-08-07 214214 2088611 54797 9551 58603
2020-08-08 215336 2153010 54929 9599 59294
2020-08-09 215891 2215074 55104 9638 59990
2020-08-10 216327 2268675 55292 9684 60288
2020-08-11 217293 2329638 55353 9751 61594
2020-08-12 218519 2396637 55395 9783 62295
2020-08-13 219964 2461190 55497 9851 63042
2020-08-14 221413 2525922 55580 9908 63782
2020-08-15 222828 2589952 55661 9965 64396
2020-08-16 223453 2647663 55747 10005 64950
2020-08-17 224014 2702681 55838 10060 65469
2020-08-18 225404 2767253 55938 10111 66112
2020-08-19 226914 2836925 56031 10162 66747
